total_value,portfolio_delta,eth_delta,btc_delta,eth_price,btc_price,max_deviation,rebalance_count,total_costs
999106.7354644488,-0.0005684971539368481,-0.0012955440673911823,0.0006399726166494171,2623.069091796875,104966.640625,0.0012955440673911823,2,12.425665474052192
999144.2578843536,-0.0005442668439250149,-0.002124404387871216,0.0020762338821914018,2618.724365234375,105268.59375,0.002124404387871216,2,12.425665474052192
999839.5800206433,-9.547100379427796e-05,-0.002476978413918601,0.003845632472989196,2616.87841796875,105641.78125,0.003845632472989196,2,12.425665474052192
1001320.8288901513,0.0008592602916782172,-0.0017047260488872874,0.005100267043158179,2620.92333984375,105907.203125,0.005100267043158179,2,12.425665474052192
1002050.9396271664,0.0013291790291560055,-0.0010906830058465564,0.005333311391955806,2624.14404296875,105956.578125,0.005333311391955806,2,12.425665474052192
999686.9381124147,-0.00019395926568509776,-0.002912617517555368,0.004301077263526919,2614.599365234375,105738.0546875,0.004301077263526919,2,12.425665474052192
992593.100221148,-0.004792572679691338,-0.009740009874336071,0.003340064365073208,2579.138671875,105535.015625,0.009740009874336071,2,12.425665474052192
995514.5579372274,-0.0028936123817489287,-0.0063162612934764195,0.0027550209616959845,2596.861083984375,105411.6015625,0.0063162612934764195,2,12.425665474052192
996317.6701515039,-0.002372843066489986,-0.0059401269494470865,0.0035122208129772206,2598.8154296875,105571.359375,0.0059401269494470865,2,12.425665474052192
981327.4067607569,-0.012183151423069584,-0.016771928662067094,-0.004632329244602597,2543.113525390625,103865.6171875,0.016771928662067094,2,12.425665474052192
999091.5440510771,-0.0005852183012533908,0.0010751065133176522,-0.0032707033578598015,2548.587646484375,104148.859375,0.0032707033578598015,3,20.414782723277806
1006458.2986909454,0.004248839369379226,0.006715966642012355,0.00024981565571540896,2577.50341796875,104884.765625,0.006715966642012355,3,20.414782723277806
1005944.859663695,0.003913435940442145,0.006696786375966507,-0.000601917665537833,2577.404541015625,104706.25,0.006696786375966507,3,20.414782723277806
1005328.9747359221,0.0035108116550346983,0.006480068951088725,-0.0013084835626929142,2576.28759765625,104558.390625,0.006480068951088725,3,20.414782723277806
1004386.5928558578,0.002894115109850018,0.0052113604965714445,-0.0008604455222224642,2569.758544921875,104652.125,0.0052113604965714445,3,20.414782723277806
995401.1888158615,-0.003024514402997774,-0.002612023315370115,-0.0036895202097833773,2529.86279296875,104061.65625,0.0036895202097833773,3,20.414782723277806
995140.0041501335,-0.0031976061767422497,-0.0027066050259251712,-0.003989345335026373,2529.38427734375,103999.2734375,0.003989345335026373,3,20.414782723277806
993333.0356122173,-0.004396755031301415,-0.00455946244083927,-0.004134835368747934,2520.0283203125,103969.015625,0.00455946244083927,3,20.414782723277806
986726.5130377077,-0.00880551434050929,-0.010182762749788665,-0.006595415683123038,2491.84375,103458.609375,0.010182762749788665,3,20.414782723277806
985699.9831102978,-0.00949402954539334,-0.010676653451612136,-0.00759529200700629,2489.38330078125,103251.9140625,0.010676653451612136,3,20.414782723277806
991233.2856104315,-0.00579380701517885,-0.005940077930809481,-0.005558335962094637,2513.079345703125,103673.4296875,0.005940077930809481,3,20.414782723277806
993841.7414532362,-0.004058875469217451,-0.0036546616676281737,-0.004710522122801836,2524.5927734375,103849.375,0.004710522122801836,3,20.414782723277806
991183.0703610576,-0.005827264917025644,-0.005738106358763819,-0.005970882604328937,2514.0947265625,103587.921875,0.005970882604328937,3,20.414782723277806
993589.8705260473,-0.0042261383064976735,-0.004076660397488997,-0.004466956993108096,2522.462890625,103899.9765625,0.004466956993108096,3,20.414782723277806
993644.9941492697,-0.004189526961636172,-0.003733771497539789,-0.0049243641216554935,2524.193359375,103804.96875,0.0049243641216554935,3,20.414782723277806
994003.3002429883,-0.003951616585703148,-0.0031902639070360657,-0.005180161014074703,2526.938720703125,103751.875,0.005180161014074703,3,20.414782723277806
992979.6094437641,-0.004631632614713181,-0.0038090244482870328,-0.0059592309154468835,2523.8134765625,103590.3359375,0.0059592309154468835,3,20.414782723277806
991770.3459793682,-0.005436108399782835,-0.004586007741024859,-0.006808172327838533,2519.89453125,103414.59375,0.006808172327838533,3,20.414782723277806
992033.5815869635,-0.005260878338464161,-0.004588768920317613,-0.006345162246892127,2519.880615234375,103510.40625,0.006345162246892127,3,20.414782723277806
996433.0093835042,-0.0023412920483805236,-0.001392554345357427,-0.003872961129367371,2536.04052734375,104023.484375,0.003872961129367371,3,20.414782723277806
996054.9212505624,-0.0025915359023453008,-0.002084575125320826,-0.0034090445978469234,2532.532958984375,104120.046875,0.0034090445978469234,3,20.414782723277806
999034.4215789576,-0.0006228854048504483,-0.0001855077183981268,-0.0013280602939522977,2542.170166015625,104554.296875,0.0013280602939522977,3,20.414782723277806
998220.2738423076,-0.0011600506191043031,-0.0011822524212963324,-0.0011242980318275115,2537.107421875,104596.9140625,0.0011822524212963324,3,20.414782723277806
998943.1371552226,-0.0006830851130984008,-0.00033424204338521697,-0.001245387438386821,2541.4140625,104571.5859375,0.001245387438386821,3,20.414782723277806
995886.6371767413,-0.0027029576752881606,-0.0030739056117470897,-0.002106144861721986,2527.52685546875,104391.71875,0.0030739056117470897,3,20.414782723277806
998753.0159032914,-0.0008084884007439194,-0.00041042728279712414,-0.001450207989521705,2541.02685546875,104528.7578125,0.001450207989521705,3,20.414782723277806
998866.5236959303,-0.0007336152921674505,-0.0009053853782831981,-0.00045711386907039213,2538.5126953125,104736.578125,0.0009053853782831981,3,20.414782723277806
999826.8091440144,-0.00010063053054055565,-0.00012049536942538953,-6.86410700315568e-05,2542.500732421875,104817.984375,0.00012049536942538953,3,20.414782723277806
999890.1445153331,-5.891033610787022e-05,-0.00012673695639091312,5.0300989945819095e-05,2542.468994140625,104842.921875,0.00012673695639091312,3,20.414782723277806
997823.9161488399,-0.0014217716070452126,-0.0018888222561317422,-0.0006705294602485655,2533.524658203125,104691.8828125,0.0018888222561317422,3,20.414782723277806
996837.2140831432,-0.0020739006396441446,-0.002835670285902134,-0.0008495464436374443,2528.7314453125,104654.40625,0.002835670285902134,3,20.414782723277806
995783.7587255292,-0.002771086239202511,-0.003387443912452721,-0.0017800696626251245,2525.9423828125,104459.8203125,0.003387443912452721,3,20.414782723277806
991194.7991572121,-0.005819449942087428,-0.0073073979982839245,-0.0034324178312239288,2506.216064453125,104115.1796875,0.0073073979982839245,3,20.414782723277806
992046.3588269134,-0.005252374369673534,-0.006833872830956428,-0.002715883887398316,2508.5908203125,104264.4921875,0.006833872830956428,3,20.414782723277806
993755.3785341677,-0.004116221213469227,-0.005538933745359485,-0.0018334720585241754,2515.096435546875,104448.6640625,0.005538933745359485,3,20.414782723277806
996047.9389492472,-0.002596158428472415,-0.003819133191390704,-0.000632883215932616,2523.762451171875,104699.765625,0.003819133191390704,3,20.414782723277806
994900.5714355411,-0.003356335034721558,-0.004689780385638693,-0.0012163262976326796,2519.37158203125,104577.6640625,0.004689780385638693,3,20.414782723277806
